buggy_file_path,fix_commit_hash,fix_date,buggy_commit_hash,buggy_date,fix_message
README.md,421b9f3cadb65932403db593b22a032e7c5e21de,2023-01-30 15:22:32-08:00,19a794c850fc2ab68fe252b58be3a722444b6e0e,2022-01-20 04:42:53+00:00,Rev JNI Bind release header to v 0.9.1.  PiperOrigin-RevId: 505813666
jni_bind_release.h,421b9f3cadb65932403db593b22a032e7c5e21de,2023-01-30 15:22:32-08:00,75a8e09587ec65a2505bf66b29744d7e6aaea251,2022-04-12 19:19:11+00:00,Rev JNI Bind release header to v 0.9.1.  PiperOrigin-RevId: 505813666
jni_bind_release.h,421b9f3cadb65932403db593b22a032e7c5e21de,2023-01-30 15:22:32-08:00,6f84308702b450431e236782cf28974fc8d8690a,2022-11-03 20:10:45+00:00,Rev JNI Bind release header to v 0.9.1.  PiperOrigin-RevId: 505813666
jni_bind_release.h,421b9f3cadb65932403db593b22a032e7c5e21de,2023-01-30 15:22:32-08:00,12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7,2022-06-06 18:01:45+00:00,Rev JNI Bind release header to v 0.9.1.  PiperOrigin-RevId: 505813666
jni_bind_release.h,421b9f3cadb65932403db593b22a032e7c5e21de,2023-01-30 15:22:32-08:00,92581948a87350df7c8b74e330ae59192de72bc9,2023-01-09 13:24:14-08:00,Rev JNI Bind release header to v 0.9.1.  PiperOrigin-RevId: 505813666
jni_bind_release.h,421b9f3cadb65932403db593b22a032e7c5e21de,2023-01-30 15:22:32-08:00,534d0711ba94055e218ed4e7b1915cf0ea1c62eb,2022-01-31 07:21:39+00:00,Rev JNI Bind release header to v 0.9.1.  PiperOrigin-RevId: 505813666
jni_bind_release.h,421b9f3cadb65932403db593b22a032e7c5e21de,2023-01-30 15:22:32-08:00,583b1f2328333edc84e8a3e7daea35d903b9c362,2022-12-14 18:48:16+00:00,Rev JNI Bind release header to v 0.9.1.  PiperOrigin-RevId: 505813666
jni_bind_release.h,421b9f3cadb65932403db593b22a032e7c5e21de,2023-01-30 15:22:32-08:00,da24262785b2e4cfaaa75654a4c2e2a467587fea,2022-07-21 22:15:17+00:00,Rev JNI Bind release header to v 0.9.1.  PiperOrigin-RevId: 505813666
jni_bind_release.h,421b9f3cadb65932403db593b22a032e7c5e21de,2023-01-30 15:22:32-08:00,44fc3501977198917e40938c963a9691ff917b87,2022-08-29 18:37:47+00:00,Rev JNI Bind release header to v 0.9.1.  PiperOrigin-RevId: 505813666
jni_bind_release.h,421b9f3cadb65932403db593b22a032e7c5e21de,2023-01-30 15:22:32-08:00,d2cd0e2df41b726d93be2ca1e729ead75352f346,2022-03-01 17:09:12+00:00,Rev JNI Bind release header to v 0.9.1.  PiperOrigin-RevId: 505813666
jni_bind_release.h,421b9f3cadb65932403db593b22a032e7c5e21de,2023-01-30 15:22:32-08:00,c6dc8b7f81116206ce3bacaf3b2e42f10449ba5c,2022-01-10 04:42:50+00:00,Rev JNI Bind release header to v 0.9.1.  PiperOrigin-RevId: 505813666
implementation/jni_helper/field_value.h,c8686f3de49eb98d961fe051640baf3834773796,2023-01-31 15:03:35-08:00,53daf2cf5a48011679ca1316e16e5b592cb64027,2023-01-30 14:33:12-08:00,Rank 0 strings are now properly handled by by FieldHelper.  PiperOrigin-RevId: 506126356
implementation/jni_helper/field_value.h,c8686f3de49eb98d961fe051640baf3834773796,2023-01-31 15:03:35-08:00,65d9bd7feb8265b76e254512f49f3e9a3839e2c1,2023-01-30 15:14:01-08:00,Rank 0 strings are now properly handled by by FieldHelper.  PiperOrigin-RevId: 506126356
implementation/jni_helper/field_value.h,c8686f3de49eb98d961fe051640baf3834773796,2023-01-31 15:03:35-08:00,8e4a3d2ece72d01942295bdd754d822f3fda69dc,2022-03-01 00:58:10+00:00,Rank 0 strings are now properly handled by by FieldHelper.  PiperOrigin-RevId: 506126356
implementation/jni_helper/field_value.h,c8686f3de49eb98d961fe051640baf3834773796,2023-01-31 15:03:35-08:00,3159f063c01d3b09487cf2fb3a462a7c94756a8a,2021-05-14 20:43:01+00:00,Rank 0 strings are now properly handled by by FieldHelper.  PiperOrigin-RevId: 506126356
implementation/jni_helper/jni_typename_to_string_test.cc,c8686f3de49eb98d961fe051640baf3834773796,2023-01-31 15:03:35-08:00,3159f063c01d3b09487cf2fb3a462a7c94756a8a,2021-05-14 20:43:01+00:00,Rank 0 strings are now properly handled by by FieldHelper.  PiperOrigin-RevId: 506126356
implementation/jni_helper/static_field_value.h,c8686f3de49eb98d961fe051640baf3834773796,2023-01-31 15:03:35-08:00,997d6509a93c0f644ed2f829deb4457000287741,2022-12-12 20:31:31+00:00,Rank 0 strings are now properly handled by by FieldHelper.  PiperOrigin-RevId: 506126356
implementation/jni_helper/static_field_value.h,c8686f3de49eb98d961fe051640baf3834773796,2023-01-31 15:03:35-08:00,53daf2cf5a48011679ca1316e16e5b592cb64027,2023-01-30 14:33:12-08:00,Rank 0 strings are now properly handled by by FieldHelper.  PiperOrigin-RevId: 506126356
implementation/jni_helper/static_field_value.h,c8686f3de49eb98d961fe051640baf3834773796,2023-01-31 15:03:35-08:00,65d9bd7feb8265b76e254512f49f3e9a3839e2c1,2023-01-30 15:14:01-08:00,Rank 0 strings are now properly handled by by FieldHelper.  PiperOrigin-RevId: 506126356
javatests/com/jnibind/test/FieldTest.java,c8686f3de49eb98d961fe051640baf3834773796,2023-01-31 15:03:35-08:00,8e4a3d2ece72d01942295bdd754d822f3fda69dc,2022-03-01 00:58:10+00:00,Rank 0 strings are now properly handled by by FieldHelper.  PiperOrigin-RevId: 506126356
javatests/com/jnibind/test/FieldTest.java,c8686f3de49eb98d961fe051640baf3834773796,2023-01-31 15:03:35-08:00,7d3fac7b5078d8fb60c83431f9f32a653e7a0945,2021-12-30 06:19:05+00:00,Rank 0 strings are now properly handled by by FieldHelper.  PiperOrigin-RevId: 506126356
javatests/com/jnibind/test/FieldTestHelper.java,c8686f3de49eb98d961fe051640baf3834773796,2023-01-31 15:03:35-08:00,965fba81f74daea45f76109a97e2a00f2ba2d96c,2021-12-30 06:22:20+00:00,Rank 0 strings are now properly handled by by FieldHelper.  PiperOrigin-RevId: 506126356
javatests/com/jnibind/test/FieldTestHelper.java,c8686f3de49eb98d961fe051640baf3834773796,2023-01-31 15:03:35-08:00,8e4a3d2ece72d01942295bdd754d822f3fda69dc,2022-03-01 00:58:10+00:00,Rank 0 strings are now properly handled by by FieldHelper.  PiperOrigin-RevId: 506126356
javatests/com/jnibind/test/FieldTestHelper.java,c8686f3de49eb98d961fe051640baf3834773796,2023-01-31 15:03:35-08:00,7d3fac7b5078d8fb60c83431f9f32a653e7a0945,2021-12-30 06:19:05+00:00,Rank 0 strings are now properly handled by by FieldHelper.  PiperOrigin-RevId: 506126356
javatests/com/jnibind/test/field_test_jni.cc,c8686f3de49eb98d961fe051640baf3834773796,2023-01-31 15:03:35-08:00,965fba81f74daea45f76109a97e2a00f2ba2d96c,2021-12-30 06:22:20+00:00,Rank 0 strings are now properly handled by by FieldHelper.  PiperOrigin-RevId: 506126356
javatests/com/jnibind/test/field_test_jni.cc,c8686f3de49eb98d961fe051640baf3834773796,2023-01-31 15:03:35-08:00,5d1088c82ffa53b6b74f702eee2cdd7cd1c0e32a,2021-12-30 06:21:06+00:00,Rank 0 strings are now properly handled by by FieldHelper.  PiperOrigin-RevId: 506126356
javatests/com/jnibind/test/field_test_jni.cc,c8686f3de49eb98d961fe051640baf3834773796,2023-01-31 15:03:35-08:00,8e4a3d2ece72d01942295bdd754d822f3fda69dc,2022-03-01 00:58:10+00:00,Rank 0 strings are now properly handled by by FieldHelper.  PiperOrigin-RevId: 506126356
javatests/com/jnibind/test/field_test_jni.cc,c8686f3de49eb98d961fe051640baf3834773796,2023-01-31 15:03:35-08:00,7d3fac7b5078d8fb60c83431f9f32a653e7a0945,2021-12-30 06:19:05+00:00,Rank 0 strings are now properly handled by by FieldHelper.  PiperOrigin-RevId: 506126356
implementation/BUILD,27676f552218fa1c603c07f461b477deef8da123,2023-02-13 16:56:14-08:00,575455e1594ca63ed1ce868d9b220101c089bc0c,2022-08-09 16:03:42+00:00,"Local|Global strings support vanilla Local|Global objects.  LocalString supports string specific functions, but is interchangeable with a plain LocalObject<kJavaLangString> (i.e. regular String).  Pip"
implementation/BUILD,27676f552218fa1c603c07f461b477deef8da123,2023-02-13 16:56:14-08:00,c0d1ab3798b40a35764867d0da457006815be0d8,2022-09-13 17:08:24+00:00,"Local|Global strings support vanilla Local|Global objects.  LocalString supports string specific functions, but is interchangeable with a plain LocalObject<kJavaLangString> (i.e. regular String).  Pip"
implementation/BUILD,27676f552218fa1c603c07f461b477deef8da123,2023-02-13 16:56:14-08:00,fe6bcecc4a413a4a00d399c2392425911dba1416,2023-01-20 13:36:02-08:00,"Local|Global strings support vanilla Local|Global objects.  LocalString supports string specific functions, but is interchangeable with a plain LocalObject<kJavaLangString> (i.e. regular String).  Pip"
implementation/BUILD,27676f552218fa1c603c07f461b477deef8da123,2023-02-13 16:56:14-08:00,d42f945013d0a2bdf8afa48678489a7533dd306f,2022-10-10 16:59:09+00:00,"Local|Global strings support vanilla Local|Global objects.  LocalString supports string specific functions, but is interchangeable with a plain LocalObject<kJavaLangString> (i.e. regular String).  Pip"
implementation/BUILD,27676f552218fa1c603c07f461b477deef8da123,2023-02-13 16:56:14-08:00,87e8cf607485d1c3c84a9af18eca713337f5601e,2022-10-17 18:34:00+00:00,"Local|Global strings support vanilla Local|Global objects.  LocalString supports string specific functions, but is interchangeable with a plain LocalObject<kJavaLangString> (i.e. regular String).  Pip"
implementation/BUILD,27676f552218fa1c603c07f461b477deef8da123,2023-02-13 16:56:14-08:00,d4f5fae895a9a230bf0197b0e345d7653172014d,2022-11-22 06:38:23+00:00,"Local|Global strings support vanilla Local|Global objects.  LocalString supports string specific functions, but is interchangeable with a plain LocalObject<kJavaLangString> (i.e. regular String).  Pip"
implementation/BUILD,27676f552218fa1c603c07f461b477deef8da123,2023-02-13 16:56:14-08:00,9a3aae898341720e064a4433df6fc239becc046a,2022-10-03 18:50:32+00:00,"Local|Global strings support vanilla Local|Global objects.  LocalString supports string specific functions, but is interchangeable with a plain LocalObject<kJavaLangString> (i.e. regular String).  Pip"
implementation/BUILD,27676f552218fa1c603c07f461b477deef8da123,2023-02-13 16:56:14-08:00,ad622aed10c39a12ddeb2f0ab10d95f823b32ae6,2022-12-22 10:06:18-08:00,"Local|Global strings support vanilla Local|Global objects.  LocalString supports string specific functions, but is interchangeable with a plain LocalObject<kJavaLangString> (i.e. regular String).  Pip"
implementation/BUILD,27676f552218fa1c603c07f461b477deef8da123,2023-02-13 16:56:14-08:00,12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7,2022-06-06 18:01:45+00:00,"Local|Global strings support vanilla Local|Global objects.  LocalString supports string specific functions, but is interchangeable with a plain LocalObject<kJavaLangString> (i.e. regular String).  Pip"
implementation/BUILD,27676f552218fa1c603c07f461b477deef8da123,2023-02-13 16:56:14-08:00,8984aa5ea09d1b1c7818cd2a48bcd4aa0e6c5e5f,2022-10-31 19:13:56+00:00,"Local|Global strings support vanilla Local|Global objects.  LocalString supports string specific functions, but is interchangeable with a plain LocalObject<kJavaLangString> (i.e. regular String).  Pip"
implementation/BUILD,27676f552218fa1c603c07f461b477deef8da123,2023-02-13 16:56:14-08:00,2a8ea03991bb2978bb126dafa29f40b887ec2fb3,2022-01-19 17:16:21+00:00,"Local|Global strings support vanilla Local|Global objects.  LocalString supports string specific functions, but is interchangeable with a plain LocalObject<kJavaLangString> (i.e. regular String).  Pip"
implementation/BUILD,27676f552218fa1c603c07f461b477deef8da123,2023-02-13 16:56:14-08:00,adfdb67bde4875fb442a73a4c01c55485f51bc40,2022-08-09 16:04:28+00:00,"Local|Global strings support vanilla Local|Global objects.  LocalString supports string specific functions, but is interchangeable with a plain LocalObject<kJavaLangString> (i.e. regular String).  Pip"
implementation/BUILD,27676f552218fa1c603c07f461b477deef8da123,2023-02-13 16:56:14-08:00,3341b53df9e968b5be9dc0eacc3032172f7765c5,2022-10-17 18:33:44+00:00,"Local|Global strings support vanilla Local|Global objects.  LocalString supports string specific functions, but is interchangeable with a plain LocalObject<kJavaLangString> (i.e. regular String).  Pip"
implementation/BUILD,27676f552218fa1c603c07f461b477deef8da123,2023-02-13 16:56:14-08:00,e888bf487e22369034aa28f61ba0c6d00e60b7e3,2022-08-29 18:14:56+00:00,"Local|Global strings support vanilla Local|Global objects.  LocalString supports string specific functions, but is interchangeable with a plain LocalObject<kJavaLangString> (i.e. regular String).  Pip"
implementation/BUILD,27676f552218fa1c603c07f461b477deef8da123,2023-02-13 16:56:14-08:00,500e11d49a1546aaf3bdb38f14061b6ad85ee7aa,2022-04-09 01:20:50+00:00,"Local|Global strings support vanilla Local|Global objects.  LocalString supports string specific functions, but is interchangeable with a plain LocalObject<kJavaLangString> (i.e. regular String).  Pip"
implementation/BUILD,27676f552218fa1c603c07f461b477deef8da123,2023-02-13 16:56:14-08:00,d7cef62b09f8a902aa09bd6f7aeece4d99cbd84b,2022-12-12 20:32:09+00:00,"Local|Global strings support vanilla Local|Global objects.  LocalString supports string specific functions, but is interchangeable with a plain LocalObject<kJavaLangString> (i.e. regular String).  Pip"
implementation/BUILD,27676f552218fa1c603c07f461b477deef8da123,2023-02-13 16:56:14-08:00,3cc587789fd7cd503d08d21a21476a0d12057a08,2022-11-29 02:04:18+00:00,"Local|Global strings support vanilla Local|Global objects.  LocalString supports string specific functions, but is interchangeable with a plain LocalObject<kJavaLangString> (i.e. regular String).  Pip"
implementation/BUILD,27676f552218fa1c603c07f461b477deef8da123,2023-02-13 16:56:14-08:00,190632e2739d6fa9a7d8f72221fa0edb5479689b,2022-12-19 22:04:38+00:00,"Local|Global strings support vanilla Local|Global objects.  LocalString supports string specific functions, but is interchangeable with a plain LocalObject<kJavaLangString> (i.e. regular String).  Pip"
implementation/BUILD,27676f552218fa1c603c07f461b477deef8da123,2023-02-13 16:56:14-08:00,2e638b8174091de0c97accfb2215f02d06d70894,2022-12-19 22:03:38+00:00,"Local|Global strings support vanilla Local|Global objects.  LocalString supports string specific functions, but is interchangeable with a plain LocalObject<kJavaLangString> (i.e. regular String).  Pip"
