buggy_file_path,fix_commit_hash,fix_date,buggy_commit_hash,buggy_date,fix_message
BUILD,c6adc7d9b3fc97ba574d0c7259ea871071a32961,2024-03-11 12:08:24-07:00,93d52bf7d532e17de633abdb0c0070f2c7fe8f4e,2024-03-05 12:29:45-08:00,"Revving JNI Bind to Version 1.0.0, switching from ""alpha"" to ""beta"".  JNI Bind has been in production code at Google for a couple years now, and its API is largely settled. This seems a reasonable poi"
BUILD,c6adc7d9b3fc97ba574d0c7259ea871071a32961,2024-03-11 12:08:24-07:00,176f908e0f995179c49ad16fb522ccf4c3ef7e42,2023-12-18 10:56:45-08:00,"Revving JNI Bind to Version 1.0.0, switching from ""alpha"" to ""beta"".  JNI Bind has been in production code at Google for a couple years now, and its API is largely settled. This seems a reasonable poi"
BUILD,c6adc7d9b3fc97ba574d0c7259ea871071a32961,2024-03-11 12:08:24-07:00,2a8ea03991bb2978bb126dafa29f40b887ec2fb3,2022-01-19 17:16:21+00:00,"Revving JNI Bind to Version 1.0.0, switching from ""alpha"" to ""beta"".  JNI Bind has been in production code at Google for a couple years now, and its API is largely settled. This seems a reasonable poi"
jni_bind_release.h,c6adc7d9b3fc97ba574d0c7259ea871071a32961,2024-03-11 12:08:24-07:00,421b9f3cadb65932403db593b22a032e7c5e21de,2023-01-30 15:22:32-08:00,"Revving JNI Bind to Version 1.0.0, switching from ""alpha"" to ""beta"".  JNI Bind has been in production code at Google for a couple years now, and its API is largely settled. This seems a reasonable poi"
jni_bind_release.h,c6adc7d9b3fc97ba574d0c7259ea871071a32961,2024-03-11 12:08:24-07:00,2a0bf7594e9cfeb8dff5669fa034d1077bf9b40b,2023-02-14 16:37:03-08:00,"Revving JNI Bind to Version 1.0.0, switching from ""alpha"" to ""beta"".  JNI Bind has been in production code at Google for a couple years now, and its API is largely settled. This seems a reasonable poi"
jni_bind_release.h,c6adc7d9b3fc97ba574d0c7259ea871071a32961,2024-03-11 12:08:24-07:00,75a8e09587ec65a2505bf66b29744d7e6aaea251,2022-04-12 19:19:11+00:00,"Revving JNI Bind to Version 1.0.0, switching from ""alpha"" to ""beta"".  JNI Bind has been in production code at Google for a couple years now, and its API is largely settled. This seems a reasonable poi"
jni_bind_release.h,c6adc7d9b3fc97ba574d0c7259ea871071a32961,2024-03-11 12:08:24-07:00,6f84308702b450431e236782cf28974fc8d8690a,2022-11-03 20:10:45+00:00,"Revving JNI Bind to Version 1.0.0, switching from ""alpha"" to ""beta"".  JNI Bind has been in production code at Google for a couple years now, and its API is largely settled. This seems a reasonable poi"
jni_bind_release.h,c6adc7d9b3fc97ba574d0c7259ea871071a32961,2024-03-11 12:08:24-07:00,12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7,2022-06-06 18:01:45+00:00,"Revving JNI Bind to Version 1.0.0, switching from ""alpha"" to ""beta"".  JNI Bind has been in production code at Google for a couple years now, and its API is largely settled. This seems a reasonable poi"
jni_bind_release.h,c6adc7d9b3fc97ba574d0c7259ea871071a32961,2024-03-11 12:08:24-07:00,22ffc67cc0d57f20934c3094dc71e46bb978a75d,2024-01-09 11:42:21-08:00,"Revving JNI Bind to Version 1.0.0, switching from ""alpha"" to ""beta"".  JNI Bind has been in production code at Google for a couple years now, and its API is largely settled. This seems a reasonable poi"
jni_bind_release.h,c6adc7d9b3fc97ba574d0c7259ea871071a32961,2024-03-11 12:08:24-07:00,e4505c5eb0a087fcfe9c1d0dde29ceb0178996aa,2023-11-13 15:33:37-08:00,"Revving JNI Bind to Version 1.0.0, switching from ""alpha"" to ""beta"".  JNI Bind has been in production code at Google for a couple years now, and its API is largely settled. This seems a reasonable poi"
