Variable,Coefficient,p-value,Odds Ratio
Intercept,0.004542776807031992,0.97715043553937,1.005
C(project)[T.java-smt-_all],0.39832805824661577,0.06492490962943387,1.489
C(project)[T.javacpp-_all],0.3598331111725011,0.32106789246667045,1.433
C(project)[T.jni-bind-release-_all],-0.7471792512667566,0.0023828048182448973,0.474
C(project)[T.jpype-v_all],-113.27535380763945,1.0,0.0
C(project)[T.monero-java-v_all],-0.004542776807032227,0.994441167441929,0.995
C(project)[T.pljava-v_all],-1.2021137590937614,7.684216645576296e-11,0.301
C(project)[T.realm-java-v_all],-0.36376568837134415,0.0964932948021,0.695
C(project)[T.rocksdb-v_all],-0.5912765287960248,0.00254100496116517,0.554
C(project)[T.sqlite-_all],-2.6172848799457973,6.516186753650164e-10,0.073
C(project)[T.vlc-_all],-0.24846943047894574,0.26411598919948986,0.78
C(project)[T.webrtc-v_all],-1.7586694842694999,1.0700252374571744e-20,0.172
C(project)[T.wolfcrypt-v_all],1.4821917706263412,1.877389470542425e-05,4.403
C(project)[T.wolfssl-v_all],1.7187746543601634,2.039705864290305e-09,5.578
C(project)[T.zstd-jni-v_all],-0.03010382032687387,0.9157416582533568,0.97
LanguageEnvy,0.1762878672060398,5.1175603885675044e-05,1.193
CrossRespDecl,0.20880785367684043,1.7566981610974273e-06,1.232
ShotgunSurgery,0.295268384669272,1.4720300959585516e-09,1.343
EncapsulationBypass,0.07657251873019219,0.13234542814665648,1.08
