file,LanguageEnvy,CrossRespDecl,ShotgunSurgery,EncapsulationBypass,change_prone,Release_File
src/org/sosy_lab/solver/z3/Z3NativeApiHelpers.java,3,0,0,0,1,java-smt-0.1.csv
src/org/sosy_lab/solver/mathsat5/Mathsat5InterpolatingProver.java,1,0,0,0,1,java-smt-0.1.csv
src/org/sosy_lab/solver/z3/Z3ArrayFormulaManager.java,1,0,0,0,1,java-smt-0.1.csv
src/org/sosy_lab/solver/z3/Z3OptProver.java,1,0,0,0,1,java-smt-0.1.csv
src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,0,1,0,0,1,java-smt-0.1.csv
src/org/sosy_lab/solver/Model.java,6,0,0,0,1,java-smt-0.1.csv
src/org/sosy_lab/solver/z3/Z3BooleanFormulaManager.java,1,0,0,0,1,java-smt-0.1.csv
src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApiTest0.java,3,0,0,0,1,java-smt-0.1.csv
src/org/sosy_lab/solver/z3/Z3UnsafeFormulaManager.java,5,0,0,0,1,java-smt-0.1.csv
src/org/sosy_lab/solver/api/NumeralFormulaManager.java,1,0,0,0,1,java-smt-0.1.csv
src/org/sosy_lab/solver/api/UnsafeFormulaManager.java,7,0,0,0,1,java-smt-0.1.csv
src/org/sosy_lab/solver/api/ArrayFormulaManager.java,1,0,0,0,1,java-smt-0.1.csv
src/org/sosy_lab/solver/mathsat5/Mathsat5FormulaCreator.java,2,0,0,0,1,java-smt-0.1.csv
src/org/sosy_lab/solver/mathsat5/Mathsat5OptProver.java,1,0,0,0,1,java-smt-0.1.csv
src/org/sosy_lab/solver/mathsat5/Mathsat5BooleanFormulaManager.java,2,0,0,0,1,java-smt-0.1.csv
src/org/sosy_lab/solver/mathsat5/Mathsat5Model.java,3,0,0,0,1,java-smt-0.1.csv
src/org/sosy_lab/solver/mathsat5/Mathsat5AbstractProver.java,1,0,0,0,1,java-smt-0.1.csv
src/org/sosy_lab/solver/mathsat5/Mathsat5UnsafeFormulaManager.java,2,0,0,0,1,java-smt-0.1.csv
src/org/sosy_lab/solver/z3/Z3NativeApiConstants.java,1,0,0,0,1,java-smt-0.1.csv
src/org/sosy_lab/solver/api/BooleanFormulaManager.java,3,0,0,0,1,java-smt-0.1.csv
src/org/sosy_lab/solver/api/FormulaManager.java,12,0,0,0,1,java-smt-0.1.csv
src/org/sosy_lab/solver/z3/Z3Model.java,3,0,0,0,1,java-smt-0.1.csv
src/org/sosy_lab/solver/z3/Z3NativeApi.java,0,1,0,0,1,java-smt-0.1.csv
src/org/sosy_lab/solver/basicimpl/FormulaCreator.java,2,0,0,0,1,java-smt-0.1.csv
src/org/sosy_lab/solver/z3/Z3NumeralFormulaManager.java,1,0,0,0,1,java-smt-0.1.csv
java-smt-0.3/src/org/sosy_lab/solver/z3/Z3NativeApiConstants.java,1,0,0,0,0,java-smt-0.3 (2).csv
java-smt-0.3/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApiTest0.java,3,0,0,0,0,java-smt-0.3 (2).csv
java-smt-0.3/lib/native/source/libmathsat5j/org_sosy_1lab_solver_mathsat5_Mathsat5NativeApi.c,0,0,6,0,0,java-smt-0.3 (2).csv
java-smt-0.3/src/org/sosy_lab/solver/api/SolverContext.java,1,0,0,0,0,java-smt-0.3 (2).csv
java-smt-0.3/src/org/sosy_lab/solver/z3/Z3SolverException.java,0,0,0,1,0,java-smt-0.3 (2).csv
java-smt-0.3/src/org/sosy_lab/solver/z3/Z3FunctionFormulaManager.java,1,0,0,0,0,java-smt-0.3 (2).csv
java-smt-0.3/src/org/sosy_lab/solver/api/Model.java,1,0,0,0,0,java-smt-0.3 (2).csv
