file,LanguageEnvy,CrossRespDecl,ShotgunSurgery,EncapsulationBypass,change_prone,Release_File
javatests/com/jnibind/test/LocalObjectTest.java,0,0,0,1,0,jni-bind-Release-0.8.0-alpha.csv
javatests/com/jnibind/test/ContextTest.java,1,0,0,0,0,jni-bind-Release-0.8.0-alpha.csv
javatests/com/jnibind/test/ClassLoaderTest.java,0,0,0,1,0,jni-bind-Release-0.8.0-alpha.csv
javatests/com/jnibind/test/FieldTestHelper.java,0,0,0,1,0,jni-bind-Release-0.8.0-alpha.csv
javatests/com/jnibind/test/ClassLoaderHelperClass.java,0,0,0,1,0,jni-bind-Release-0.8.0-alpha.csv
javatests/com/jnibind/test/FieldTest.java,0,0,0,1,0,jni-bind-Release-0.8.0-alpha.csv
javatests/com/jnibind/test/GlobalObjectTest.java,0,0,0,1,0,jni-bind-Release-0.8.0-alpha.csv
javatests/com/jnibind/test/ArrayTest.java,0,0,0,1,0,jni-bind-Release-0.8.0-alpha.csv
javatests/com/jnibind/test/LocalObjectTest.java,0,0,0,1,0,jni-bind-Release-0.9.1-alpha.csv
javatests/com/jnibind/test/ContextTest.java,1,0,0,0,0,jni-bind-Release-0.9.1-alpha.csv
javatests/com/jnibind/test/ClassLoaderTest.java,0,0,0,1,0,jni-bind-Release-0.9.1-alpha.csv
javatests/com/jnibind/test/FieldTestHelper.java,0,0,0,1,1,jni-bind-Release-0.9.1-alpha.csv
javatests/com/jnibind/test/ClassLoaderHelperClass.java,0,0,0,1,0,jni-bind-Release-0.9.1-alpha.csv
javatests/com/jnibind/test/FieldTest.java,0,0,0,1,1,jni-bind-Release-0.9.1-alpha.csv
javatests/com/jnibind/test/GlobalObjectTest.java,0,0,0,1,0,jni-bind-Release-0.9.1-alpha.csv
javatests/com/jnibind/test/ArrayTest.java,0,0,0,1,1,jni-bind-Release-0.9.1-alpha.csv
javatests/com/jnibind/test/ArrayTestMethodRank1.java,0,0,0,1,1,jni-bind-Release-0.9.3-alpha.csv
javatests/com/jnibind/test/LocalObjectTest.java,0,0,0,1,0,jni-bind-Release-0.9.3-alpha.csv
javatests/com/jnibind/test/ContextTest.java,1,0,0,0,0,jni-bind-Release-0.9.3-alpha.csv
javatests/com/jnibind/test/ClassLoaderTest.java,0,0,0,1,1,jni-bind-Release-0.9.3-alpha.csv
javatests/com/jnibind/test/FieldTestHelper.java,0,0,0,1,0,jni-bind-Release-0.9.3-alpha.csv
javatests/com/jnibind/test/ClassLoaderHelperClass.java,0,0,0,1,1,jni-bind-Release-0.9.3-alpha.csv
javatests/com/jnibind/test/FieldTest.java,0,0,0,1,0,jni-bind-Release-0.9.3-alpha.csv
javatests/com/jnibind/test/GlobalObjectTest.java,0,0,0,1,0,jni-bind-Release-0.9.3-alpha.csv
javatests/com/jnibind/test/ArrayTestMethodRank1.java,0,0,0,1,1,jni-bind-Release-0.9.6-alpha.csv
javatests/com/jnibind/test/LocalObjectTest.java,0,0,0,1,0,jni-bind-Release-0.9.6-alpha.csv
javatests/com/jnibind/test/ContextTest.java,1,0,0,0,1,jni-bind-Release-0.9.6-alpha.csv
javatests/com/jnibind/test/ArrayTestFieldRank1.java,0,0,0,1,0,jni-bind-Release-0.9.6-alpha.csv
javatests/com/jnibind/test/FieldTestHelper.java,0,0,0,1,0,jni-bind-Release-0.9.6-alpha.csv
javatests/com/jnibind/test/ClassLoaderHelperClass.java,0,0,0,1,0,jni-bind-Release-0.9.6-alpha.csv
javatests/com/jnibind/test/FieldTest.java,0,0,0,1,0,jni-bind-Release-0.9.6-alpha.csv
javatests/com/jnibind/test/GlobalObjectTest.java,0,0,0,1,0,jni-bind-Release-0.9.6-alpha.csv
javatests/com/jnibind/test/ArrayTestMethodRank1.java,0,0,0,1,0,jni-bind-Release-0.9.7-alpha.csv
javatests/com/jnibind/test/LocalObjectTest.java,0,0,0,1,0,jni-bind-Release-0.9.7-alpha.csv
javatests/com/jnibind/test/ArrayTestMethodRank2.java,0,0,0,1,1,jni-bind-Release-0.9.7-alpha.csv
javatests/com/jnibind/test/ContextTest.java,1,0,0,0,0,jni-bind-Release-0.9.7-alpha.csv
javatests/com/jnibind/test/ArrayTestFieldRank1.java,0,0,0,1,0,jni-bind-Release-0.9.7-alpha.csv
javatests/com/jnibind/test/FieldTestHelper.java,0,0,0,1,0,jni-bind-Release-0.9.7-alpha.csv
javatests/com/jnibind/test/ClassLoaderHelperClass.java,0,0,0,1,0,jni-bind-Release-0.9.7-alpha.csv
javatests/com/jnibind/test/FieldTest.java,0,0,0,1,0,jni-bind-Release-0.9.7-alpha.csv
javatests/com/jnibind/test/GlobalObjectTest.java,0,0,0,1,1,jni-bind-Release-0.9.7-alpha.csv
javatests/com/jnibind/test/ArrayTestMethodRank1.java,0,0,0,1,1,jni-bind-Release-0.9.8-alpha.csv
javatests/com/jnibind/test/LocalObjectTest.java,0,0,0,1,0,jni-bind-Release-0.9.8-alpha.csv
javatests/com/jnibind/test/ArrayTestMethodRank2.java,0,0,0,1,1,jni-bind-Release-0.9.8-alpha.csv
javatests/com/jnibind/test/ContextTest.java,1,0,0,0,0,jni-bind-Release-0.9.8-alpha.csv
javatests/com/jnibind/test/ArrayTestFieldRank1.java,0,0,0,1,1,jni-bind-Release-0.9.8-alpha.csv
javatests/com/jnibind/test/FieldTestHelper.java,0,0,0,1,0,jni-bind-Release-0.9.8-alpha.csv
javatests/com/jnibind/test/ClassLoaderHelperClass.java,0,0,0,1,0,jni-bind-Release-0.9.8-alpha.csv
javatests/com/jnibind/test/FieldTest.java,0,0,0,1,0,jni-bind-Release-0.9.8-alpha.csv
javatests/com/jnibind/test/GlobalObjectTest.java,0,0,0,1,0,jni-bind-Release-0.9.8-alpha.csv
javatests/com/jnibind/android/ThreadTest.java,0,0,0,1,1,jni-bind-Release-0.9.9-alpha.csv
javatests/com/jnibind/test/LocalObjectTest.java,0,0,0,2,1,jni-bind-Release-0.9.9-alpha.csv
javatests/com/jnibind/android/GlobalObjectTest.java,0,0,0,2,1,jni-bind-Release-0.9.9-alpha.csv
javatests/com/jnibind/android/ClassLoaderHelperClass.java,0,0,0,2,0,jni-bind-Release-0.9.9-alpha.csv
javatests/com/jnibind/test/ContextTest.java,2,0,0,0,1,jni-bind-Release-0.9.9-alpha.csv
javatests/com/jnibind/test/ArrayTestFieldRank1.java,0,0,0,1,1,jni-bind-Release-0.9.9-alpha.csv
javatests/com/jnibind/android/FieldTestHelper.java,0,0,0,1,0,jni-bind-Release-0.9.9-alpha.csv
javatests/com/jnibind/android/FieldTest.java,0,0,0,1,1,jni-bind-Release-0.9.9-alpha.csv
javatests/com/jnibind/test/ClassLoaderTest.java,0,0,0,1,1,jni-bind-Release-0.9.9-alpha.csv
javatests/com/jnibind/test/FieldTestHelper.java,0,0,0,1,0,jni-bind-Release-0.9.9-alpha.csv
javatests/com/jnibind/test/ArrayTestFieldRank2.java,0,0,0,1,1,jni-bind-Release-0.9.9-alpha.csv
javatests/com/jnibind/test/ClassLoaderHelperClass.java,0,0,0,2,0,jni-bind-Release-0.9.9-alpha.csv
javatests/com/jnibind/android/ArrayTest.java,0,0,0,1,0,jni-bind-Release-0.9.9-alpha.csv
javatests/com/jnibind/android/ContextTest.java,2,0,0,0,1,jni-bind-Release-0.9.9-alpha.csv
javatests/com/jnibind/test/FieldTest.java,0,0,0,1,1,jni-bind-Release-0.9.9-alpha.csv
javatests/com/jnibind/test/ThreadTest.java,0,0,0,1,1,jni-bind-Release-0.9.9-alpha.csv
javatests/com/jnibind/test/GlobalObjectTest.java,0,0,0,2,1,jni-bind-Release-0.9.9-alpha.csv
javatests/com/jnibind/android/ClassLoaderTest.java,0,0,0,1,1,jni-bind-Release-0.9.9-alpha.csv
javatests/com/jnibind/android/LocalObjectTest.java,0,0,0,2,1,jni-bind-Release-0.9.9-alpha.csv
javatests/com/jnibind/test/ArrayTestHelpers.java,0,0,0,1,0,jni-bind-Release-0.9.9-alpha.csv
