file,LanguageEnvy,CrossRespDecl,ShotgunSurgery,EncapsulationBypass,change_prone,Release_File
jni/jni_native_struct.c,0,0,2,0,0,wolfcrypt-v1.0.0-stable.csv
src/main/java/com/wolfssl/wolfcrypt/Fips.java,0,1,0,0,1,wolfcrypt-v1.0.0-stable.csv
jni/jni_error.c,0,0,2,0,0,wolfcrypt-v1.0.0-stable.csv
src/test/java/com/wolfssl/wolfcrypt/test/fips/FipsTest.java,2,0,0,0,0,wolfcrypt-v1.0.0-stable.csv
src/test/java/com/wolfssl/wolfcrypt/test/fips/RsaFipsTest.java,2,0,0,0,0,wolfcrypt-v1.0.0-stable.csv
src/main/java/com/wolfssl/wolfcrypt/Asn.java,0,1,0,0,0,wolfcrypt-v1.0.0-stable.csv
jni/jni_fips.c,0,0,1,0,1,wolfcrypt-v1.0.0-stable.csv
src/main/java/com/wolfssl/wolfcrypt/WolfCryptException.java,0,0,0,1,0,wolfcrypt-v1.0.0-stable.csv
src/main/java/com/wolfssl/wolfcrypt/Hmac.java,1,0,0,0,1,wolfcrypt-v1.1.0-stable.csv
jni/jni_native_struct.c,0,0,2,0,1,wolfcrypt-v1.1.0-stable.csv
src/main/java/com/wolfssl/wolfcrypt/Fips.java,0,1,0,0,1,wolfcrypt-v1.1.0-stable.csv
src/main/java/com/wolfssl/wolfcrypt/FeatureDetect.java,0,1,0,0,1,wolfcrypt-v1.1.0-stable.csv
jni/jni_error.c,0,0,2,0,1,wolfcrypt-v1.1.0-stable.csv
src/test/java/com/wolfssl/wolfcrypt/test/fips/FipsTest.java,2,0,0,0,1,wolfcrypt-v1.1.0-stable.csv
src/test/java/com/wolfssl/wolfcrypt/test/fips/RsaFipsTest.java,2,0,0,0,1,wolfcrypt-v1.1.0-stable.csv
src/main/java/com/wolfssl/wolfcrypt/Asn.java,0,1,0,0,1,wolfcrypt-v1.1.0-stable.csv
src/main/java/com/wolfssl/provider/jce/WolfCryptProvider.java,1,0,0,0,1,wolfcrypt-v1.1.0-stable.csv
jni/jni_fips.c,0,0,1,0,1,wolfcrypt-v1.1.0-stable.csv
src/main/java/com/wolfssl/wolfcrypt/WolfCryptException.java,0,0,0,1,1,wolfcrypt-v1.1.0-stable.csv
src/main/java/com/wolfssl/wolfcrypt/Hmac.java,1,0,0,0,1,wolfcrypt-v1.2.0-stable.csv
jni/jni_native_struct.c,0,0,2,0,1,wolfcrypt-v1.2.0-stable.csv
src/main/java/com/wolfssl/wolfcrypt/Fips.java,0,1,0,0,1,wolfcrypt-v1.2.0-stable.csv
src/main/java/com/wolfssl/wolfcrypt/FeatureDetect.java,0,1,0,0,1,wolfcrypt-v1.2.0-stable.csv
jni/jni_error.c,0,0,2,0,1,wolfcrypt-v1.2.0-stable.csv
src/test/java/com/wolfssl/wolfcrypt/test/fips/FipsTest.java,2,0,0,0,1,wolfcrypt-v1.2.0-stable.csv
src/test/java/com/wolfssl/wolfcrypt/test/fips/RsaFipsTest.java,2,0,0,0,1,wolfcrypt-v1.2.0-stable.csv
src/main/java/com/wolfssl/wolfcrypt/Asn.java,0,1,0,0,1,wolfcrypt-v1.2.0-stable.csv
src/main/java/com/wolfssl/provider/jce/WolfCryptProvider.java,1,0,0,0,1,wolfcrypt-v1.2.0-stable.csv
jni/jni_fips.c,0,0,1,0,1,wolfcrypt-v1.2.0-stable.csv
src/main/java/com/wolfssl/wolfcrypt/WolfCryptException.java,0,0,0,1,1,wolfcrypt-v1.2.0-stable.csv
src/main/java/com/wolfssl/wolfcrypt/Hmac.java,1,0,0,0,0,wolfcrypt-v1.3.0-stable.csv
jni/jni_native_struct.c,0,0,2,0,1,wolfcrypt-v1.3.0-stable.csv
src/main/java/com/wolfssl/wolfcrypt/Fips.java,0,1,0,0,1,wolfcrypt-v1.3.0-stable.csv
src/main/java/com/wolfssl/wolfcrypt/FeatureDetect.java,0,1,0,0,0,wolfcrypt-v1.3.0-stable.csv
jni/jni_error.c,0,0,2,0,0,wolfcrypt-v1.3.0-stable.csv
