buggy_file_path,fix_commit_hash,fix_date,buggy_commit_hash,buggy_date,fix_message
README.md,583b1f2328333edc84e8a3e7daea35d903b9c362,2022-12-14 18:48:16+00:00,19a794c850fc2ab68fe252b58be3a722444b6e0e,2022-01-20 04:42:53+00:00,Rev JNI Bind release header to v 0.8.  PiperOrigin-RevId: 495356362 Change-Id: I43a2b353cc83776d883aa53b058ec323fbc11d9c
jni_bind_release.h,583b1f2328333edc84e8a3e7daea35d903b9c362,2022-12-14 18:48:16+00:00,75a8e09587ec65a2505bf66b29744d7e6aaea251,2022-04-12 19:19:11+00:00,Rev JNI Bind release header to v 0.8.  PiperOrigin-RevId: 495356362 Change-Id: I43a2b353cc83776d883aa53b058ec323fbc11d9c
jni_bind_release.h,583b1f2328333edc84e8a3e7daea35d903b9c362,2022-12-14 18:48:16+00:00,6f84308702b450431e236782cf28974fc8d8690a,2022-11-03 20:10:45+00:00,Rev JNI Bind release header to v 0.8.  PiperOrigin-RevId: 495356362 Change-Id: I43a2b353cc83776d883aa53b058ec323fbc11d9c
jni_bind_release.h,583b1f2328333edc84e8a3e7daea35d903b9c362,2022-12-14 18:48:16+00:00,12deff9c5b47ab5d0aa3e2c1efa321fb59d09ef7,2022-06-06 18:01:45+00:00,Rev JNI Bind release header to v 0.8.  PiperOrigin-RevId: 495356362 Change-Id: I43a2b353cc83776d883aa53b058ec323fbc11d9c
jni_bind_release.h,583b1f2328333edc84e8a3e7daea35d903b9c362,2022-12-14 18:48:16+00:00,534d0711ba94055e218ed4e7b1915cf0ea1c62eb,2022-01-31 07:21:39+00:00,Rev JNI Bind release header to v 0.8.  PiperOrigin-RevId: 495356362 Change-Id: I43a2b353cc83776d883aa53b058ec323fbc11d9c
jni_bind_release.h,583b1f2328333edc84e8a3e7daea35d903b9c362,2022-12-14 18:48:16+00:00,da24262785b2e4cfaaa75654a4c2e2a467587fea,2022-07-21 22:15:17+00:00,Rev JNI Bind release header to v 0.8.  PiperOrigin-RevId: 495356362 Change-Id: I43a2b353cc83776d883aa53b058ec323fbc11d9c
jni_bind_release.h,583b1f2328333edc84e8a3e7daea35d903b9c362,2022-12-14 18:48:16+00:00,44fc3501977198917e40938c963a9691ff917b87,2022-08-29 18:37:47+00:00,Rev JNI Bind release header to v 0.8.  PiperOrigin-RevId: 495356362 Change-Id: I43a2b353cc83776d883aa53b058ec323fbc11d9c
jni_bind_release.h,583b1f2328333edc84e8a3e7daea35d903b9c362,2022-12-14 18:48:16+00:00,d2cd0e2df41b726d93be2ca1e729ead75352f346,2022-03-01 17:09:12+00:00,Rev JNI Bind release header to v 0.8.  PiperOrigin-RevId: 495356362 Change-Id: I43a2b353cc83776d883aa53b058ec323fbc11d9c
jni_bind_release.h,583b1f2328333edc84e8a3e7daea35d903b9c362,2022-12-14 18:48:16+00:00,c6dc8b7f81116206ce3bacaf3b2e42f10449ba5c,2022-01-10 04:42:50+00:00,Rev JNI Bind release header to v 0.8.  PiperOrigin-RevId: 495356362 Change-Id: I43a2b353cc83776d883aa53b058ec323fbc11d9c
metaprogramming/BUILD,0cfc18669b20b423717bf96baf67573f92a393dd,2022-12-19 22:03:27+00:00,3881c2c1227384ed1add2b5736c196c3c5d46ded,2021-12-30 06:21:39+00:00,Add metafunction to detect the presence of a partial specialization.  PiperOrigin-RevId: 496482285 Change-Id: Ie2975ed6790aa2c352b32e1dbff6306d1f630142
metaprogramming/BUILD,0cfc18669b20b423717bf96baf67573f92a393dd,2022-12-19 22:03:27+00:00,3913074ee13dc2cc98941a92f47d3fcc3ee659f0,2022-11-22 06:38:11+00:00,Add metafunction to detect the presence of a partial specialization.  PiperOrigin-RevId: 496482285 Change-Id: Ie2975ed6790aa2c352b32e1dbff6306d1f630142
metaprogramming/BUILD,0cfc18669b20b423717bf96baf67573f92a393dd,2022-12-19 22:03:27+00:00,af577c3c422ef26d6abc1d8ee3096341ea8979db,2022-08-20 17:02:58+00:00,Add metafunction to detect the presence of a partial specialization.  PiperOrigin-RevId: 496482285 Change-Id: Ie2975ed6790aa2c352b32e1dbff6306d1f630142
metaprogramming/BUILD,0cfc18669b20b423717bf96baf67573f92a393dd,2022-12-19 22:03:27+00:00,44f3af81156e65ffff64fc236e823833e5b9e8ff,2022-10-31 19:13:41+00:00,Add metafunction to detect the presence of a partial specialization.  PiperOrigin-RevId: 496482285 Change-Id: Ie2975ed6790aa2c352b32e1dbff6306d1f630142
metaprogramming/BUILD,0cfc18669b20b423717bf96baf67573f92a393dd,2022-12-19 22:03:27+00:00,d9737b1e0906ce774257ccc63f84665b0d127202,2022-10-31 23:21:06+00:00,Add metafunction to detect the presence of a partial specialization.  PiperOrigin-RevId: 496482285 Change-Id: Ie2975ed6790aa2c352b32e1dbff6306d1f630142
metaprogramming/BUILD,0cfc18669b20b423717bf96baf67573f92a393dd,2022-12-19 22:03:27+00:00,07458f5b9223e98097c33ad70217ed92670bf6b6,2022-04-09 00:23:12+00:00,Add metafunction to detect the presence of a partial specialization.  PiperOrigin-RevId: 496482285 Change-Id: Ie2975ed6790aa2c352b32e1dbff6306d1f630142
