file,LanguageEnvy,CrossRespDecl,ShotgunSurgery,EncapsulationBypass,fault_prone,Release_File
src/C/pljava/SPI.c,0,0,4,0,0,pljava-1_2_0.csv
src/java/pljava/org/postgresql/pljava/sqlj/Loader.java,0,0,0,1,0,pljava-1_2_0.csv
src/C/pljava/type/TupleDesc.c,0,0,7,0,0,pljava-1_2_0.csv
src/C/pljava/type/HeapTupleHeader.c,0,0,4,0,0,pljava-1_2_0.csv
src/java/pljava/org/postgresql/pljava/internal/ErrorData.java,0,0,0,1,0,pljava-1_2_0.csv
src/java/pljava/org/postgresql/pljava/internal/Portal.java,0,0,0,1,0,pljava-1_2_0.csv
src/C/pljava/XactListener.c,0,0,6,0,0,pljava-1_2_0.csv
src/C/pljava/Invocation.c,0,0,4,0,0,pljava-1_2_0.csv
src/java/pljava/org/postgresql/pljava/internal/TupleTable.java,0,0,0,1,0,pljava-1_2_0.csv
src/C/pljava/type/Relation.c,0,0,5,0,0,pljava-1_2_0.csv
src/java/pljava/org/postgresql/pljava/TriggerData.java,0,0,0,1,0,pljava-1_2_0.csv
src/java/pljava/org/postgresql/pljava/internal/Relation.java,0,0,0,1,0,pljava-1_2_0.csv
src/C/pljava/type/TriggerData.c,0,0,7,0,0,pljava-1_2_0.csv
src/C/pljava/type/Tuple.c,0,0,3,0,0,pljava-1_2_0.csv
src/java/pljava/org/postgresql/pljava/internal/SPI.java,0,0,0,1,0,pljava-1_2_0.csv
src/java/pljava/org/postgresql/pljava/internal/Session.java,0,0,0,1,0,pljava-1_2_0.csv
src/java/pljava/org/postgresql/pljava/internal/SubXactListener.java,0,0,0,1,0,pljava-1_2_0.csv
src/C/pljava/PgSavepoint.c,0,0,5,0,0,pljava-1_2_0.csv
src/C/pljava/Backend.c,0,0,6,0,0,pljava-1_2_0.csv
src/C/pljava/type/LargeObject.c,0,0,9,0,0,pljava-1_2_0.csv
src/java/pljava/org/postgresql/pljava/internal/JavaWrapper.java,0,0,0,1,0,pljava-1_2_0.csv
src/java/pljava/org/postgresql/pljava/jdbc/SingleTupleReader.java,0,0,0,1,0,pljava-1_2_0.csv
src/C/pljava/Session.c,0,0,2,0,0,pljava-1_2_0.csv
src/C/pljava/SubXactListener.c,0,0,3,0,0,pljava-1_2_0.csv
src/java/pljava/org/postgresql/pljava/internal/ResultSetPicker.java,0,0,0,1,0,pljava-1_2_0.csv
src/java/pljava/org/postgresql/pljava/internal/HeapTupleHeader.java,0,0,0,1,0,pljava-1_2_0.csv
src/C/pljava/type/Oid.c,0,0,4,0,0,pljava-1_2_0.csv
src/java/pljava/org/postgresql/pljava/jdbc/BlobValue.java,0,0,0,1,0,pljava-1_2_0.csv
src/C/pljava/type/ErrorData.c,0,0,5,0,0,pljava-1_2_0.csv
src/C/pljava/type/Portal.c,0,0,7,0,0,pljava-1_2_0.csv
src/java/pljava/org/postgresql/pljava/internal/AclId.java,0,0,0,1,0,pljava-1_2_0.csv
src/java/pljava/org/postgresql/pljava/internal/ExecutionPlan.java,0,0,0,1,0,pljava-1_2_0.csv
src/C/pljava/ExecutionPlan.c,0,0,6,0,0,pljava-1_2_0.csv
src/C/pljava/type/AclId.c,0,0,6,0,0,pljava-1_2_0.csv
src/java/pljava/org/postgresql/pljava/internal/TupleDesc.java,0,0,0,1,0,pljava-1_2_0.csv
src/java/pljava/org/postgresql/pljava/internal/Tuple.java,0,0,0,1,0,pljava-1_2_0.csv
src/java/pljava/org/postgresql/pljava/internal/Backend.java,0,1,0,1,0,pljava-1_2_0.csv
src/java/pljava/org/postgresql/pljava/jdbc/Invocation.java,1,0,0,1,0,pljava-1_2_0.csv
src/java/pljava/org/postgresql/pljava/internal/TriggerData.java,0,0,0,1,0,pljava-1_2_0.csv
src/java/pljava/org/postgresql/pljava/Session.java,0,0,0,1,0,pljava-1_2_0.csv
src/java/pljava/org/postgresql/pljava/internal/XactListener.java,0,0,0,2,0,pljava-1_2_0.csv
src/java/pljava/org/postgresql/pljava/internal/LargeObject.java,0,0,0,1,0,pljava-1_2_0.csv
src/C/pljava/type/JavaWrapper.c,0,0,2,0,0,pljava-1_2_0.csv
src/java/pljava/org/postgresql/pljava/internal/PgSavepoint.java,0,0,0,1,0,pljava-1_2_0.csv
src/java/pljava/org/postgresql/pljava/jdbc/SingleRowWriter.java,0,0,0,1,0,pljava-1_2_0.csv
src/java/pljava/org/postgresql/pljava/internal/Oid.java,0,0,0,1,0,pljava-1_2_0.csv
src/java/pljava/org/postgresql/pljava/internal/ServerException.java,0,0,0,1,0,pljava-1_2_0.csv
src/java/pljava/org/postgresql/pljava/jdbc/SQLInputFromTuple.java,0,0,0,1,0,pljava-1_3_0.csv
src/C/pljava/SPI.c,0,0,5,0,0,pljava-1_3_0.csv
src/java/pljava/org/postgresql/pljava/sqlj/Loader.java,0,0,0,1,0,pljava-1_3_0.csv
src/java/pljava/org/postgresql/pljava/jdbc/SQLInputFromChunk.java,0,0,0,1,0,pljava-1_3_0.csv
src/C/pljava/type/TupleDesc.c,0,0,6,0,0,pljava-1_3_0.csv
src/java/pljava/org/postgresql/pljava/internal/ErrorData.java,0,0,0,1,0,pljava-1_3_0.csv
src/java/pljava/org/postgresql/pljava/internal/Portal.java,0,0,0,1,0,pljava-1_3_0.csv
src/C/pljava/XactListener.c,0,0,6,0,0,pljava-1_3_0.csv
src/C/pljava/Invocation.c,0,0,4,0,0,pljava-1_3_0.csv
src/java/pljava/org/postgresql/pljava/internal/TupleTable.java,0,0,0,1,0,pljava-1_3_0.csv
src/C/pljava/type/Relation.c,0,0,5,0,0,pljava-1_3_0.csv
src/java/pljava/org/postgresql/pljava/jdbc/SingleRowReader.java,0,0,0,1,0,pljava-1_3_0.csv
src/java/pljava/org/postgresql/pljava/jdbc/SQLOutputToTuple.java,0,0,0,1,0,pljava-1_3_0.csv
src/java/pljava/org/postgresql/pljava/TriggerData.java,0,0,0,1,0,pljava-1_3_0.csv
src/java/pljava/org/postgresql/pljava/internal/Relation.java,0,0,0,1,0,pljava-1_3_0.csv
src/C/pljava/type/TriggerData.c,0,0,7,0,0,pljava-1_3_0.csv
src/C/pljava/type/Tuple.c,0,0,10,0,0,pljava-1_3_0.csv
src/java/pljava/org/postgresql/pljava/internal/SPI.java,0,0,0,1,0,pljava-1_3_0.csv
src/java/pljava/org/postgresql/pljava/internal/Session.java,0,0,0,1,0,pljava-1_3_0.csv
src/C/pljava/type/Composite.c,0,0,9,0,0,pljava-1_3_0.csv
src/java/pljava/org/postgresql/pljava/internal/SubXactListener.java,0,0,0,1,0,pljava-1_3_0.csv
src/C/pljava/PgSavepoint.c,0,0,5,0,0,pljava-1_3_0.csv
src/C/pljava/Backend.c,0,0,7,0,0,pljava-1_3_0.csv
src/C/pljava/type/LargeObject.c,0,0,9,0,0,pljava-1_3_0.csv
src/C/pljava/SQLInputFromChunk.c,0,0,4,0,0,pljava-1_3_0.csv
src/java/pljava/org/postgresql/pljava/internal/JavaWrapper.java,0,0,0,1,0,pljava-1_3_0.csv
src/C/pljava/Session.c,0,0,2,0,0,pljava-1_3_0.csv
src/C/pljava/SubXactListener.c,0,0,3,0,0,pljava-1_3_0.csv
src/java/pljava/org/postgresql/pljava/internal/ResultSetPicker.java,0,0,0,1,0,pljava-1_3_0.csv
src/C/pljava/type/Oid.c,0,0,5,0,0,pljava-1_3_0.csv
