file,LanguageEnvy,CrossRespDecl,ShotgunSurgery,EncapsulationBypass,fault_prone,Release_File
lib/inc_linux/jni.h,0,0,13,0,0,sqlite-3.42.0.1.csv
src/main/java/org/sqlite/Function.java,0,0,0,1,0,sqlite-3.42.0.1.csv
lib/inc_mac/jni.h,0,0,13,0,0,sqlite-3.42.0.1.csv
src/main/java/org/sqlite/ProgressHandler.java,0,0,0,1,0,sqlite-3.42.0.1.csv
src/main/java/org/sqlite/core/NativeDB.c,0,0,19,0,0,sqlite-3.42.0.1.csv
src/main/java/org/sqlite/core/NativeDB.java,0,0,0,1,1,sqlite-3.42.0.1.csv
src/main/java/org/sqlite/BusyHandler.java,0,0,0,1,0,sqlite-3.42.0.1.csv
src/main/java/org/sqlite/Collation.java,0,0,0,1,0,sqlite-3.42.0.1.csv
lib/inc_win/jni.h,0,0,13,0,0,sqlite-3.42.0.1.csv
src/main/java/org/sqlite/core/DB.java,2,0,0,1,1,sqlite-3.42.0.1.csv
lib/inc_linux/jni.h,0,0,13,0,0,sqlite-3.44.0.0.csv
src/main/java/org/sqlite/Function.java,0,0,0,1,0,sqlite-3.44.0.0.csv
lib/inc_mac/jni.h,0,0,13,0,0,sqlite-3.44.0.0.csv
src/main/java/org/sqlite/ProgressHandler.java,0,0,0,1,0,sqlite-3.44.0.0.csv
src/main/java/org/sqlite/core/NativeDB.c,0,0,19,0,0,sqlite-3.44.0.0.csv
src/main/java/org/sqlite/core/NativeDB.java,0,0,0,1,0,sqlite-3.44.0.0.csv
src/main/java/org/sqlite/BusyHandler.java,0,0,0,1,0,sqlite-3.44.0.0.csv
src/main/java/org/sqlite/Collation.java,0,0,0,1,0,sqlite-3.44.0.0.csv
lib/inc_win/jni.h,0,0,13,0,0,sqlite-3.44.0.0.csv
src/main/java/org/sqlite/core/DB.java,2,0,0,1,0,sqlite-3.44.0.0.csv
lib/inc_linux/jni.h,0,0,13,0,0,sqlite-3.45.0.0.csv
src/main/java/org/sqlite/Function.java,0,0,0,1,0,sqlite-3.45.0.0.csv
lib/inc_mac/jni.h,0,0,13,0,0,sqlite-3.45.0.0.csv
src/main/java/org/sqlite/ProgressHandler.java,0,0,0,1,0,sqlite-3.45.0.0.csv
src/main/java/org/sqlite/core/NativeDB.c,0,0,19,0,0,sqlite-3.45.0.0.csv
src/main/java/org/sqlite/core/NativeDB.java,0,0,0,1,0,sqlite-3.45.0.0.csv
src/main/java/org/sqlite/BusyHandler.java,0,0,0,1,0,sqlite-3.45.0.0.csv
src/main/java/org/sqlite/Collation.java,0,0,0,1,0,sqlite-3.45.0.0.csv
lib/inc_win/jni.h,0,0,13,0,0,sqlite-3.45.0.0.csv
src/main/java/org/sqlite/core/DB.java,2,0,0,1,0,sqlite-3.45.0.0.csv
