ID,Name,Variable,Method,Class,Package,File,File Name
CS1,JNINonPublicFie,com/jnibind/test/ClassLoaderHelperClass,,ClassLoaderHelperClass,com.jnibind.test,/home/shahrukh/smellDetection/Detection/revision projects/jni-bind/Release-1.1.2-beta/javatests/com/jnibind/test/ClassLoaderHelperClass.java,ClassLoaderHelperClass.java
CS2,JNINonPublicFie,com/jnibind/android/ClassLoaderTest,,ClassLoaderTest,com.jnibind.android,/home/shahrukh/smellDetection/Detection/revision projects/jni-bind/Release-1.1.2-beta/javatests/com/jnibind/android/ClassLoaderTest.java,ClassLoaderTest.java
CS3,JNINonPublicFie,com/jnibind/test/GlobalObjectTest,,GlobalObjectTest,com.jnibind.test,/home/shahrukh/smellDetection/Detection/revision projects/jni-bind/Release-1.1.2-beta/javatests/com/jnibind/test/GlobalObjectTest.java,GlobalObjectTest.java
CS4,JNINonPublicFie,com/jnibind/test/ArrayTestHelpers,,ArrayTestHelpers,com.jnibind.test,/home/shahrukh/smellDetection/Detection/revision projects/jni-bind/Release-1.1.2-beta/javatests/com/jnibind/test/ArrayTestHelpers.java,ArrayTestHelpers.java
CS5,JNINonPublicFie,com/jnibind/test/FieldTestHelper,,FieldTestHelper,com.jnibind.test,/home/shahrukh/smellDetection/Detection/revision projects/jni-bind/Release-1.1.2-beta/javatests/com/jnibind/test/FieldTestHelper.java,FieldTestHelper.java
CS6,JNINonPublicFie,com/jnibind/android/ArrayTest,,ArrayTest,com.jnibind.android,/home/shahrukh/smellDetection/Detection/revision projects/jni-bind/Release-1.1.2-beta/javatests/com/jnibind/android/ArrayTest.java,ArrayTest.java
CS7,JNINonPublicFie,com/jnibind/test/FieldTest,,FieldTest,com.jnibind.test,/home/shahrukh/smellDetection/Detection/revision projects/jni-bind/Release-1.1.2-beta/javatests/com/jnibind/test/FieldTest.java,FieldTest.java
CS8,JNINonPublicFie,com/jnibind/android/LocalObjectTest,,LocalObjectTest,com.jnibind.android,/home/shahrukh/smellDetection/Detection/revision projects/jni-bind/Release-1.1.2-beta/javatests/com/jnibind/android/LocalObjectTest.java,LocalObjectTest.java
CS9,JNINonPublicFie,com/jnibind/android/ClassLoaderHelperClass,,ClassLoaderHelperClass,com.jnibind.android,/home/shahrukh/smellDetection/Detection/revision projects/jni-bind/Release-1.1.2-beta/javatests/com/jnibind/android/ClassLoaderHelperClass.java,ClassLoaderHelperClass.java
CS10,JNINonPublicFie,com/jnibind/android/GlobalObjectTest,,GlobalObjectTest,com.jnibind.android,/home/shahrukh/smellDetection/Detection/revision projects/jni-bind/Release-1.1.2-beta/javatests/com/jnibind/android/GlobalObjectTest.java,GlobalObjectTest.java
CS11,JNINonPublicFie,com/jnibind/test/LocalObjectTest,,LocalObjectTest,com.jnibind.test,/home/shahrukh/smellDetection/Detection/revision projects/jni-bind/Release-1.1.2-beta/javatests/com/jnibind/test/LocalObjectTest.java,LocalObjectTest.java
CS12,JNINonPublicFie,com/jnibind/test/ArrayTestFieldRank2,,ArrayTestFieldRank2,com.jnibind.test,/home/shahrukh/smellDetection/Detection/revision projects/jni-bind/Release-1.1.2-beta/javatests/com/jnibind/test/ArrayTestFieldRank2.java,ArrayTestFieldRank2.java
CS13,JNINonPublicFie,com/jnibind/test/ArrayTestFieldRank1,,ArrayTestFieldRank1,com.jnibind.test,/home/shahrukh/smellDetection/Detection/revision projects/jni-bind/Release-1.1.2-beta/javatests/com/jnibind/test/ArrayTestFieldRank1.java,ArrayTestFieldRank1.java
CS14,JNINonPublicFie,com/jnibind/android/ThreadTest,Java_com_jnibind_android_ThreadTest_runsThreadedWorkOnObject,ThreadTest,com.jnibind.android,/home/shahrukh/smellDetection/Detection/revision projects/jni-bind/Release-1.1.2-beta/javatests/com/jnibind/android/ThreadTest.java,ThreadTest.java
