ID,Name,Variable,Method,Class,Package,File,File Name
CS1,JNINonPublicFie,org/postgresql/pljava/jdbc/SQLInputFromTuple,pljava_SQLInputFromTuple_initialize,SQLInputFromTuple,org.postgresql.pljava.jdbc,pljava/src/main/java/org/postgresql/pljava/jdbc/SQLInputFromTuple.java,SQLInputFromTuple.java
CS2,JNINonPublicFie,org/postgresql/pljava/internal/ResultSetPicker,Composite_initialize,ResultSetPicker,org.postgresql.pljava.internal,pljava/src/main/java/org/postgresql/pljava/internal/ResultSetPicker.java,ResultSetPicker.java
CS3,JNINonPublicFie,org/postgresql/pljava/internal/DualState,pljava_DualState_initialize,DualState,org.postgresql.pljava.internal,pljava/src/main/java/org/postgresql/pljava/internal/DualState.java,DualState.java
CS4,JNINonPublicFie,org/postgresql/pljava/internal/Backend,initPLJavaClasses,Backend,org.postgresql.pljava.internal,pljava/src/main/java/org/postgresql/pljava/internal/Backend.java,Backend.java
CS5,JNINonPublicFie,org/postgresql/pljava/internal/TriggerData,pljava_TriggerData_initialize,TriggerData,org.postgresql.pljava.internal,pljava/src/main/java/org/postgresql/pljava/internal/TriggerData.java,TriggerData.java
CS6,JNINonPublicFie,org/postgresql/pljava/internal/AclId,AclId_initialize,AclId,org.postgresql.pljava.internal,pljava/src/main/java/org/postgresql/pljava/internal/AclId.java,AclId.java
CS7,JNINonPublicFie,org/postgresql/pljava/jdbc/SQLOutputToChunk,SQLOutputToChunk_initialize,SQLOutputToChunk,org.postgresql.pljava.jdbc,pljava/src/main/java/org/postgresql/pljava/jdbc/SQLOutputToChunk.java,SQLOutputToChunk.java
CS8,JNINonPublicFie,org/postgresql/pljava/internal/PgSavepoint,PgSavepoint_initialize,PgSavepoint,org.postgresql.pljava.internal,pljava/src/main/java/org/postgresql/pljava/internal/PgSavepoint.java,PgSavepoint.java
CS9,JNINonPublicFie,org/postgresql/pljava/jdbc/TypeBridge,initializeTypeBridges,TypeBridge,org.postgresql.pljava.jdbc,pljava/src/main/java/org/postgresql/pljava/jdbc/TypeBridge.java,TypeBridge.java
CS10,JNINonPublicFie,org/postgresql/pljava/jdbc/SQLInputFromChunk,SQLInputFromChunk_initialize,SQLInputFromChunk,org.postgresql.pljava.jdbc,pljava/src/main/java/org/postgresql/pljava/jdbc/SQLInputFromChunk.java,SQLInputFromChunk.java
CS11,JNINonPublicFie,org/postgresql/pljava/internal/Session,initJavaSession,Session,org.postgresql.pljava.internal,pljava/src/main/java/org/postgresql/pljava/internal/Session.java,Session.java
CS12,JNINonPublicFie,org/postgresql/pljava/internal/SubXactListener,SubXactListener_initialize,SubXactListener,org.postgresql.pljava.internal,pljava/src/main/java/org/postgresql/pljava/internal/SubXactListener.java,SubXactListener.java
CS13,JNINonPublicFie,org/postgresql/pljava/jdbc/SQLOutputToTuple,SQLOutputToTuple_initialize,SQLOutputToTuple,org.postgresql.pljava.jdbc,pljava/src/main/java/org/postgresql/pljava/jdbc/SQLOutputToTuple.java,SQLOutputToTuple.java
CS14,JNINonPublicFie,org/postgresql/pljava/jdbc/SingleRowWriter,Composite_initialize,SingleRowWriter,org.postgresql.pljava.jdbc,pljava/src/main/java/org/postgresql/pljava/jdbc/SingleRowWriter.java,SingleRowWriter.java
CS15,JNINonPublicFie,org/postgresql/pljava/jdbc/Invocation,Invocation_initialize,Invocation,org.postgresql.pljava.jdbc,pljava/src/main/java/org/postgresql/pljava/jdbc/Invocation.java,Invocation.java
CS16,JNINonPublicFie,org/postgresql/pljava/internal/XactListener,XactListener_initialize,XactListener,org.postgresql.pljava.internal,pljava/src/main/java/org/postgresql/pljava/internal/XactListener.java,XactListener.java
