ID,Name,Variable,Method,Class,Package,File,File Name
CS1,Shotgu,"()J",PgObject_getJavaMethod,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/pljava-V1_4_3/src/C/pljava/SQLOutputToTuple.c,SQLOutputToTuple.c
CS2,Shotgu,"org/postgresql/pljava/internal/ExecutionPlan",PgObject_registerNatives,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/pljava-V1_4_3/src/C/pljava/ExecutionPlan.c,ExecutionPlan.c
CS3,Shotgu,"(I)Ljava/lang/String;",Oid_initialize,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/pljava-V1_4_3/src/C/pljava/type/Oid.c,Oid.c
CS4,Shotgu,"(Lorg/postgresql/pljava/internal/ErrorData;)V",PgObject_getJavaMethod,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/pljava-V1_4_3/src/C/pljava/Exception.c,Exception.c
CS5,Shotgu,"(Ljava/sql/SQLInput;Ljava/lang/String;)V",PgObject_getJavaMethod,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/pljava-V1_4_3/src/C/pljava/type/UDT.c,UDT.c
CS6,Shotgu,"(Lorg/postgresql/pljava/internal/Oid;)I",LargeObject_initialize,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/pljava-V1_4_3/src/C/pljava/type/LargeObject.c,LargeObject.c
CS7,Shotgu,"(JJ[I[Ljava/lang/Object;)Lorg/postgresql/pljava/internal/Tuple;",Relation_initialize,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/pljava-V1_4_3/src/C/pljava/type/Relation.c,Relation.c
CS8,Shotgu,"()Ljava/lang/String;",PgObject_getJavaMethod,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/pljava-V1_4_3/src/C/pljava/Exception.c,Exception.c
CS9,Shotgu,"(J)Z",TriggerData_initialize,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/pljava-V1_4_3/src/C/pljava/type/TriggerData.c,TriggerData.c
CS10,Shotgu,"(J)V",Relation_initialize,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/pljava-V1_4_3/src/C/pljava/type/Relation.c,Relation.c
CS11,Shotgu,"()B",PgObject_getJavaMethod,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/pljava-V1_4_3/src/C/pljava/type/Byte.c,Byte.c
CS12,Shotgu,"(Lorg/postgresql/pljava/ResultSetHandle;)V",PgObject_getJavaMethod,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/pljava-V1_4_3/src/C/pljava/type/Composite.c,Composite.c
CS13,Shotgu,"(J)Lorg/postgresql/pljava/internal/Oid;",LargeObject_initialize,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/pljava-V1_4_3/src/C/pljava/type/LargeObject.c,LargeObject.c
CS14,Shotgu,"org/postgresql/pljava/internal/Tuple",PgObject_getJavaClass,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/pljava-V1_4_3/src/C/pljava/type/Tuple.c,Tuple.c
CS15,Shotgu,"(Ljava/lang/String;)Ljava/lang/Class;",PgObject_getJavaMethod,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/pljava-V1_4_3/src/C/pljava/Function.c,Function.c
CS16,Shotgu,"(S)V",PgObject_getJavaMethod,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/pljava-V1_4_3/src/C/pljava/type/Short.c,Short.c
CS17,Shotgu,"()I",PgObject_getJavaMethod,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/pljava-V1_4_3/src/C/pljava/type/Integer.c,Integer.c
CS18,Shotgu,"org/postgresql/pljava/jdbc/SQLOutputToChunk",PgObject_getJavaClass,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/pljava-V1_4_3/src/C/pljava/SQLOutputToChunk.c,SQLOutputToChunk.c
CS19,Shotgu,"(JLorg/postgresql/pljava/internal/TupleDesc;)V",PgObject_getJavaMethod,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/pljava-V1_4_3/src/C/pljava/SQLInputFromTuple.c,SQLInputFromTuple.c
CS20,Shotgu,"(J)V",XactListener_initialize,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/pljava-V1_4_3/src/C/pljava/XactListener.c,XactListener.c
CS21,Shotgu,"org/postgresql/pljava/ResultSetHandle",PgObject_getJavaClass,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/pljava-V1_4_3/src/C/pljava/type/Composite.c,Composite.c
CS22,Shotgu,"org/postgresql/pljava/internal/SubXactListener",PgObject_getJavaClass,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/pljava-V1_4_3/src/C/pljava/SubXactListener.c,SubXactListener.c
CS23,Shotgu,"()Z",PgObject_getJavaMethod,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/pljava-V1_4_3/src/C/pljava/type/Boolean.c,Boolean.c
CS24,Shotgu,"(Ljava/sql/SQLOutput;)V",PgObject_getJavaMethod,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/pljava-V1_4_3/src/C/pljava/type/UDT.c,UDT.c
CS25,Shotgu,"(J)Ljava/lang/String;",TriggerData_initialize,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/pljava-V1_4_3/src/C/pljava/type/TriggerData.c,TriggerData.c
CS26,Shotgu,"(Lorg/postgresql/pljava/internal/TupleDesc;[Lorg/postgresql/pljava/internal/Tuple;)V",PgObject_getJavaMethod,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/pljava-V1_4_3/src/C/pljava/type/TupleTable.c,TupleTable.c
CS27,Shotgu,"(J)V",Portal_initialize,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/pljava-V1_4_3/src/C/pljava/type/Portal.c,Portal.c
CS28,Shotgu,"org/postgresql/pljava/internal/ResultSetPicker",PgObject_getJavaClass,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/pljava-V1_4_3/src/C/pljava/type/Composite.c,Composite.c
CS29,Shotgu,"org/postgresql/pljava/internal/Session",PgObject_getJavaClass,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/pljava-V1_4_3/src/C/pljava/Backend.c,Backend.c
CS30,Shotgu,"(Ljava/lang/String;)Lorg/postgresql/pljava/internal/AclId;",AclId_initialize,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/pljava-V1_4_3/src/C/pljava/type/AclId.c,AclId.c
CS31,Shotgu,"(Ljava/lang/Object;)Ljava/lang/Object;",PgObject_getJavaMethod,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/pljava-V1_4_3/src/C/pljava/type/Type.c,Type.c
CS32,Shotgu,"org/postgresql/pljava/internal/LargeObject",PgObject_getJavaClass,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/pljava-V1_4_3/src/C/pljava/type/LargeObject.c,LargeObject.c
CS33,Shotgu,"()Z",initPLJavaClasses,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/pljava-V1_4_3/src/C/pljava/Backend.c,Backend.c
CS34,Shotgu,"(J)Ljava/lang/String;",Portal_initialize,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/pljava-V1_4_3/src/C/pljava/type/Portal.c,Portal.c
CS35,Shotgu,"(J)Ljava/lang/String;",ErrorData_initialize,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/pljava-V1_4_3/src/C/pljava/type/ErrorData.c,ErrorData.c
CS36,Shotgu,"(J)V",JavaWrapper_initialize,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/pljava-V1_4_3/src/C/pljava/type/JavaWrapper.c,JavaWrapper.c
CS37,Shotgu,"()Ljava/lang/String;",AclId_initialize,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/pljava-V1_4_3/src/C/pljava/type/AclId.c,AclId.c
CS38,Shotgu,"org/postgresql/pljava/internal/TupleTable",PgObject_getJavaClass,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/pljava-V1_4_3/src/C/pljava/type/TupleTable.c,TupleTable.c
CS39,Shotgu,"(J[BI)V",SQLOutputToChunk_initialize,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/pljava-V1_4_3/src/C/pljava/SQLOutputToChunk.c,SQLOutputToChunk.c
CS40,Shotgu,"(J)Ljava/lang/String;",Relation_initialize,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/pljava-V1_4_3/src/C/pljava/type/Relation.c,Relation.c
CS41,Shotgu,"(J)V",PgSavepoint_initialize,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/pljava-V1_4_3/src/C/pljava/PgSavepoint.c,PgSavepoint.c
CS42,Shotgu,"()I",initPLJavaClasses,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/pljava-V1_4_3/src/C/pljava/Backend.c,Backend.c
CS43,Shotgu,"(I)Lorg/postgresql/pljava/internal/Oid;",LargeObject_initialize,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/pljava-V1_4_3/src/C/pljava/type/LargeObject.c,LargeObject.c
CS44,Shotgu,"org/postgresql/pljava/internal/ErrorData",PgObject_getJavaClass,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/pljava-V1_4_3/src/C/pljava/type/ErrorData.c,ErrorData.c
CS45,Shotgu,"()D",PgObject_getJavaMethod,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/pljava-V1_4_3/src/C/pljava/type/Double.c,Double.c
CS46,Shotgu,"()Lorg/postgresql/pljava/internal/AclId;",AclId_initialize,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/pljava-V1_4_3/src/C/pljava/type/AclId.c,AclId.c
CS47,Shotgu,"()V",SPI_initialize,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/pljava-V1_4_3/src/C/pljava/SPI.c,SPI.c
CS48,Shotgu,"org/postgresql/pljava/internal/XactListener",PgObject_registerNatives,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/pljava-V1_4_3/src/C/pljava/XactListener.c,XactListener.c
CS49,Shotgu,"(J)Z",ExecutionPlan_initialize,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/pljava-V1_4_3/src/C/pljava/ExecutionPlan.c,ExecutionPlan.c
CS50,Shotgu,"(JJI)Ljava/lang/Object;",SQLInputFromTuple_initialize,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/pljava-V1_4_3/src/C/pljava/SQLInputFromTuple.c,SQLInputFromTuple.c
CS51,Shotgu,"(JJI)J",LargeObject_initialize,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/pljava-V1_4_3/src/C/pljava/type/LargeObject.c,LargeObject.c
