ID,Name,Variable,Method,Class,Package,File,File Name
CS1,Shotgu,"org/rocksdb/WriteBatch",getJClass,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/rocksdb-v5.9.2/java/rocksjni/portal.h,portal.h
CS2,Shotgu,"[B",getJClass,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/rocksdb-v5.9.2/java/rocksjni/portal.h,portal.h
CS3,Shotgu,"org/rocksdb/InfoLogLevel",getJClass,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/rocksdb-v5.9.2/java/rocksjni/portal.h,portal.h
CS4,Shotgu,"org/rocksdb/BackupInfo",getJClass,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/rocksdb-v5.9.2/java/rocksjni/portal.h,portal.h
CS5,Shotgu,"org/rocksdb/WBWIRocksIterator",getJClass,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/rocksdb-v5.9.2/java/rocksjni/portal.h,portal.h
CS6,Shotgu,"org/rocksdb/Options",getJClass,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/rocksdb-v5.9.2/java/rocksjni/portal.h,portal.h
CS7,Shotgu,"org/rocksdb/Slice",getJClass,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/rocksdb-v5.9.2/java/rocksjni/portal.h,portal.h
CS8,Shotgu,"()Z",getContinueMethodId,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/rocksdb-v5.9.2/java/rocksjni/portal.h,portal.h
CS9,Shotgu,"org/rocksdb/HistogramData",getJClass,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/rocksdb-v5.9.2/java/rocksjni/portal.h,portal.h
CS10,Shotgu,"(Ljava/lang/String;Lorg/rocksdb/Status;)V",,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/rocksdb-v5.9.2/java/rocksjni/portal.h,portal.h
CS11,Shotgu,"org/rocksdb/AbstractCompactionFilterFactory",getJClass,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/rocksdb-v5.9.2/java/rocksjni/portal.h,portal.h
CS12,Shotgu,"org/rocksdb/WriteBatch$Handler",getJClass,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/rocksdb-v5.9.2/java/rocksjni/portal.h,portal.h
CS13,Shotgu,"org/rocksdb/Filter",getJClass,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/rocksdb-v5.9.2/java/rocksjni/portal.h,portal.h
CS14,Shotgu,"org/rocksdb/WriteBatchWithIndex",getJClass,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/rocksdb-v5.9.2/java/rocksjni/portal.h,portal.h
CS15,Shotgu,"org/rocksdb/DBOptions",getJClass,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/rocksdb-v5.9.2/java/rocksjni/portal.h,portal.h
CS16,Shotgu,"(Ljava/lang/Object;)Z",getListAddMethodId,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/rocksdb-v5.9.2/java/rocksjni/portal.h,portal.h
CS17,Shotgu,"org/rocksdb/Logger",getJClass,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/rocksdb-v5.9.2/java/rocksjni/portal.h,portal.h
CS18,Shotgu,"org/rocksdb/DirectSlice",getJClass,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/rocksdb-v5.9.2/java/rocksjni/portal.h,portal.h
CS19,Shotgu,"org/rocksdb/WBWIRocksIterator$WriteType",getJClass,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/rocksdb-v5.9.2/java/rocksjni/portal.h,portal.h
CS20,Shotgu,"org/rocksdb/WBWIRocksIterator$WriteEntry",getJClass,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/rocksdb-v5.9.2/java/rocksjni/portal.h,portal.h
CS21,Shotgu,"org/rocksdb/ReadOptions",getJClass,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/rocksdb-v5.9.2/java/rocksjni/portal.h,portal.h
CS22,Shotgu,"()Lorg/rocksdb/ColumnFamilyOptions;",getColumnFamilyOptionsMethod,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/rocksdb-v5.9.2/java/rocksjni/portal.h,portal.h
CS23,Shotgu,"org/rocksdb/BackupableDBOptions",getJClass,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/rocksdb-v5.9.2/java/rocksjni/portal.h,portal.h
CS24,Shotgu,"org/rocksdb/FlushOptions",getJClass,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/rocksdb-v5.9.2/java/rocksjni/portal.h,portal.h
CS25,Shotgu,"org/rocksdb/RocksDB",getJClass,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/rocksdb-v5.9.2/java/rocksjni/portal.h,portal.h
CS26,Shotgu,"org/rocksdb/ComparatorOptions",getJClass,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/rocksdb-v5.9.2/java/rocksjni/portal.h,portal.h
CS27,Shotgu,"org/rocksdb/WriteOptions",getJClass,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/rocksdb-v5.9.2/java/rocksjni/portal.h,portal.h
CS28,Shotgu,"org/rocksdb/AbstractComparator",getJClass,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/rocksdb-v5.9.2/java/rocksjni/portal.h,portal.h
CS29,Shotgu,"org/rocksdb/AbstractSlice",getJClass,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/rocksdb-v5.9.2/java/rocksjni/portal.h,portal.h
CS30,Shotgu,"org/rocksdb/RocksDBException",getJClass,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/rocksdb-v5.9.2/java/rocksjni/portal.h,portal.h
CS31,Shotgu,"org/rocksdb/BackupEngine",getJClass,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/rocksdb-v5.9.2/java/rocksjni/portal.h,portal.h
CS32,Shotgu,"org/rocksdb/RocksIterator",getJClass,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/rocksdb-v5.9.2/java/rocksjni/portal.h,portal.h
CS33,Shotgu,"org/rocksdb/ColumnFamilyDescriptor",getJClass,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/rocksdb-v5.9.2/java/rocksjni/portal.h,portal.h
