ID,Name,Variable,Method,Class,Package,File,File Name
CS1,Shotgu,"(J)Lorg/videolan/medialibrary/media/Album;",,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/vlc-3.0.92/medialibrary/jni/medialibrary.cpp,medialibrary.cpp
CS2,Shotgu,"(Lorg/videolan/medialibrary/Medialibrary;JI)Ljava/lang/String;",,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/vlc-3.0.92/medialibrary/jni/medialibrary.cpp,medialibrary.cpp
CS3,Shotgu,"(J)Lorg/videolan/medialibrary/media/Genre;",,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/vlc-3.0.92/medialibrary/jni/medialibrary.cpp,medialibrary.cpp
CS4,Shotgu,"()[Ljava/lang/String;",,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/vlc-3.0.92/medialibrary/jni/medialibrary.cpp,medialibrary.cpp
CS5,Shotgu,"(Ljava/lang/String;Ljava/lang/String;Z)Z",,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/vlc-3.0.92/medialibrary/jni/medialibrary.cpp,medialibrary.cpp
CS6,Shotgu,"(Lorg/videolan/medialibrary/Medialibrary;JIZII)[Lorg/videolan/medialibrary/media/MediaWrapper;",,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/vlc-3.0.92/medialibrary/jni/medialibrary.cpp,medialibrary.cpp
CS7,Shotgu,"(Ljava/lang/String;Ljava/lang/String;)Lorg/videolan/medialibrary/media/MediaWrapper;",,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/vlc-3.0.92/medialibrary/jni/medialibrary.cpp,medialibrary.cpp
CS8,Shotgu,"(Ljava/lang/String;IZII)[Lorg/videolan/medialibrary/media/Artist;",,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/vlc-3.0.92/medialibrary/jni/medialibrary.cpp,medialibrary.cpp
CS9,Shotgu,"(Ljava/lang/String;Ljava/lang/String;)I",,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/vlc-3.0.92/medialibrary/jni/medialibrary.cpp,medialibrary.cpp
CS10,Shotgu,"(J)Lorg/videolan/medialibrary/media/Artist;",,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/vlc-3.0.92/medialibrary/jni/medialibrary.cpp,medialibrary.cpp
CS11,Shotgu,"(Ljava/lang/String;IZII)[Lorg/videolan/medialibrary/media/Genre;",,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/vlc-3.0.92/medialibrary/jni/medialibrary.cpp,medialibrary.cpp
CS12,Shotgu,"(IZ)[Lorg/videolan/medialibrary/media/Playlist;",,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/vlc-3.0.92/medialibrary/jni/medialibrary.cpp,medialibrary.cpp
