Project,Release,Total java files,smelly files,percentage
Conscrypt,conscrypt-1.0.0.RC11,256,8,3.13
Conscrypt,conscrypt-1.0.0.RC14,263,8,3.04
Conscrypt,conscrypt-1.0.0.RC2,256,8,3.13
Conscrypt,conscrypt-1.0.0.RC8,256,8,3.13
Conscrypt,conscrypt-1.0.1,263,8,3.04
Conscrypt,conscrypt-1.0.2,263,8,3.04
Conscrypt,conscrypt-1.1.1,269,9,3.35
Conscrypt,conscrypt-1.2.0,306,9,2.94
Conscrypt,conscrypt-1.4.2,312,9,2.88
Conscrypt,conscrypt-2.1.0,318,9,2.83
Conscrypt Average,,,,3.051
Java-smt,java-smt-0.1,143,16,11.19
Java-smt,java-smt-0.3 (2),185,18,9.73
Java-smt,java-smt-0.5,193,18,9.33
Java-smt,java-smt-0.60,195,7,3.59
Java-smt,java-smt-1.0.1,197,7,3.55
Java-smt,java-smt-2.0.0,205,8,3.9
Java-smt,java-smt-2.0.0-alpha,195,7,3.59
Java-smt,java-smt-2.2.0,208,8,3.85
Java-smt,java-smt-3.0.0,211,8,3.79
Java-smt,java-smt-3.1.0,213,9,4.23
Java-smt Average,,,,5.675
Javacpp,javacpp-0.5,47,0,0
Javacpp,javacpp-0.9,72,0,0
Javacpp,javacpp-1.1,107,1,0.93
Javacpp,javacpp-1.2,119,1,0.84
Javacpp,javacpp-1.2.1,119,1,0.84
Javacpp,javacpp-1.2.7,124,1,0.81
Javacpp,javacpp-1.3,124,1,0.81
Javacpp,javacpp-1.3.2,124,1,0.81
Javacpp,javacpp-1.4,128,1,0.78
Javacpp,javacpp-1.4.2,131,2,1.53
Javacpp,javacpp-1.4.4,144,2,1.39
Javacpp,javacpp-1.5,145,2,1.38
Javacpp,javacpp-1.5.1-1,145,2,1.38
Javacpp Average,,,,0.884615384615385
Jni-bind,jni-bind-Release-0.8.0-alpha,16,1,6.25
Jni-bind,jni-bind-Release-0.9.1-alpha,16,1,6.25
Jni-bind,jni-bind-Release-0.9.3-alpha,16,1,6.25
Jni-bind,jni-bind-Release-0.9.6-alpha,17,1,5.88
Jni-bind,jni-bind-Release-0.9.7-alpha,19,1,5.26
Jni-bind,jni-bind-Release-0.9.8-alpha,19,1,5.26
Jni-bind,jni-bind-Release-0.9.9-alpha,36,2,5.56
Jni-bind,jni-bind-Release-1.0.0-beta,36,2,5.56
Jni-bind,jni-bind-Release-1.1.0-beta,36,2,5.56
Jni-bind,jni-bind-Release-1.1.2-beta,37,2,5.41
Jni-bind Average,,,,5.724
Jpype,jpype-v0.5.4.5,26,0,0
Jpype,jpype-v0.5.5.1,32,0,0
Jpype,jpype-v0.5.5.4,32,0,0
Jpype,jpype-v0.5.6,32,0,0
Jpype,jpype-v0.5.7,32,0,0
Jpype,jpype-v0.6.0,34,0,0
Jpype,jpype-v0.6.1,34,0,0
Jpype,jpype-v0.6.2,38,0,0
Jpype,jpype-v0.6.3,48,0,0
Jpype,jpype-v0.7,62,0,0
Jpype,jpype-v0.7.1,67,0,0
Jpype Average,,,,0
Monero-java,Monero-java-v0.8.10,104,0,0
Monero-java,Monero-java-v0.8.13,104,0,0
Monero-java,Monero-java-v0.8.17,104,0,0
Monero-java,Monero-java-v0.8.24,104,0,0
Monero-java,Monero-java-v0.8.31,104,0,0
Monero-java,Monero-java-v0.8.35,104,0,0
Monero-java,Monero-java-v0.8.36,104,0,0
Monero-java,Monero-java-v0.8.37,104,0,0
Monero-java,Monero-java-v0.8.38,104,0,0
Monero-java,Monero-java-v0.8.9,104,0,0
Monero-java Average,,,,0
Pljava,pljava-1_2_0,113,1,0.88
Pljava,pljava-1_3_0,125,1,0.8
Pljava,pljava-1_4_0,125,1,0.8
Pljava,pljava-1_4_2,125,1,0.8
Pljava,pljava-1_5_stable-base,137,1,0.73
Pljava,pljava-V1_4_3,125,1,0.8
Pljava,pljava-V1_5_0,140,1,0.71
Pljava,pljava-V1_5_0b3,140,1,0.71
Pljava,pljava-V1_5_1b1,139,1,0.72
Pljava,pljava-V1_5_1b2,154,1,0.65
Pljava,pljava-V1_5_2,156,1,0.64
Pljava,pljava-V1_5_3,157,1,0.64
Pljava Average,,,,0.74
RcoksDB,rocksdb-v5.0.2,146,0,0
RcoksDB,rocksdb-v5.11.2,199,0,0
RcoksDB,rocksdb-v5.14.3,201,0,0
RcoksDB,rocksdb-v5.17.2,203,0,0
RcoksDB,rocksdb-v5.18.3,208,0,0
RcoksDB,rocksdb-v5.4.6,166,0,0
RcoksDB,rocksdb-v5.6.2,165,0,0
RcoksDB,rocksdb-v5.9.2,173,0,0
RcoksDB,rocksdb-v6.1.1,255,0,0
RcoksDB,rocksdb-v6.2.2,255,0,0
RcoksDB Average,,,,0
Realm-java,realm-java-v0.90.0,361,2,0.55
Realm-java,realm-java-v1.2.0,361,0,0
Realm-java,realm-java-v2.3.2,452,1,0.22
Realm-java,realm-java-v3.7.2,544,1,0.18
Realm-java,realm-java-v4.4.0,597,1,0.17
Realm-java,realm-java-v5.11.0,652,1,0.15
Realm-java,realm-java-v5.15.0,623,1,0.16
Realm-java,realm-java-v5.4.0,633,1,0.16
Realm-java,realm-java-v5.7.1,647,1,0.15
Realm-java,realm-java-v5.9.0,655,1,0.15
Realm-java Average,,,,0.189
Sqlite,sqlite-3.42.0.1,97,1,1.03
Sqlite,sqlite-3.44.0.0,100,1,1
Sqlite,sqlite-3.45.0.0,100,1,1
Sqlite,sqlite-3.45.2.0,100,1,1
Sqlite,sqlite-3.46.0.0,100,1,1
Sqlite,sqlite-3.46.1.1,102,1,0.98
Sqlite,sqlite-3.47.0.0,102,1,0.98
Sqlite,sqlite-3.47.2.0,102,1,0.98
Sqlite,sqlite-3.49.0.0,102,1,0.98
Sqlite,sqlite-3.50.1.0,102,1,0.98
Sqlite Average,,,,0.993
Vlc,vlc-2.5.4,262,0,0
Vlc,vlc-3.0.0,261,0,0
Vlc,vlc-3.0.11,261,0,0
Vlc,vlc-3.0.13,261,0,0
Vlc,vlc-3.0.92,204,2,0.98
Vlc,vlc-3.0.96,201,2,1
Vlc,vlc-3.1.0,201,2,1
Vlc,vlc-3.1.2,201,2,1
Vlc,vlc-3.1.6,201,2,1
Vlc,vlc-3.1.7,201,2,1
Vlc Average,,,,0.598
Webrtc,webrtc-v0.10.0,130,4,3.08
Webrtc,webrtc-v0.11.0,132,4,3.03
Webrtc,webrtc-v0.12.0,132,4,3.03
Webrtc,webrtc-v0.13.0,140,6,4.29
Webrtc,webrtc-v0.2.0,248,5,2.02
Webrtc,webrtc-v0.3.0,252,5,1.98
