Project,Release,Total C/C++ files,smelly files,percentage
Conscrypt,conscrypt-1.0.0.RC11,24,2,8.33
Conscrypt,conscrypt-1.0.0.RC14,24,2,8.33
Conscrypt,conscrypt-1.0.0.RC2,24,2,8.33
Conscrypt,conscrypt-1.0.0.RC8,24,2,8.33
Conscrypt,conscrypt-1.0.1,24,2,8.33
Conscrypt,conscrypt-1.0.2,24,2,8.33
Conscrypt,conscrypt-1.1.1,25,2,8
Conscrypt,conscrypt-1.2.0,25,2,8
Conscrypt,conscrypt-1.4.2,25,2,8
Conscrypt,conscrypt-2.1.0,25,2,8
Conscrypt Average,,,,8.2
Java-smt,java-smt-0.1,0,0,0
Java-smt,java-smt-0.3 (2),9,2,22.22
Java-smt,java-smt-0.5,9,2,22.22
Java-smt,java-smt-0.60,6,1,16.67
Java-smt,java-smt-1.0.1,5,1,20
Java-smt,java-smt-2.0.0,4,1,25
Java-smt,java-smt-2.0.0-alpha,5,1,20
Java-smt,java-smt-2.2.0,4,1,25
Java-smt,java-smt-3.0.0,4,1,25
Java-smt,java-smt-3.1.0,4,1,25
Java-smt Average,,,,20.1111111111111
Javacpp,javacpp-0.5,0,0,0
Javacpp,javacpp-0.9,0,0,0
Javacpp,javacpp-1.1,1,0,0
Javacpp,javacpp-1.2,1,0,0
Javacpp,javacpp-1.2.1,1,0,0
Javacpp,javacpp-1.2.7,1,0,0
Javacpp,javacpp-1.3,1,0,0
Javacpp,javacpp-1.3.2,1,0,0
Javacpp,javacpp-1.4,1,0,0
Javacpp,javacpp-1.4.2,2,0,0
Javacpp,javacpp-1.4.4,3,0,0
Javacpp,javacpp-1.5,3,0,0
Javacpp,javacpp-1.5.1-1,3,0,0
Javacpp Average,,,,0
Jni-bind,jni-bind-Release-0.8.0-alpha,202,1,0.5
Jni-bind,jni-bind-Release-0.9.1-alpha,213,1,0.47
Jni-bind,jni-bind-Release-0.9.3-alpha,216,1,0.46
Jni-bind,jni-bind-Release-0.9.6-alpha,234,1,0.43
Jni-bind,jni-bind-Release-0.9.7-alpha,241,1,0.41
Jni-bind,jni-bind-Release-0.9.8-alpha,250,1,0.4
Jni-bind,jni-bind-Release-0.9.9-alpha,274,1,0.36
Jni-bind,jni-bind-Release-1.0.0-beta,281,1,0.36
Jni-bind,jni-bind-Release-1.1.0-beta,289,1,0.35
Jni-bind,jni-bind-Release-1.1.2-beta,295,1,0.34
Jni-bind Average,,,,0.407562342453887
